Search the first 100000000 integer powers of ^3 or more for Beal's triples.
Search begins for B^j = 0:0, log10(Bj) = 0
23.9861 log10 of highest power in the list
hardware concurrency: 16
trials, zeros, log10(A^i), log10(B^j), A, i, B, j, C, k, GCD(A B C)
1924726, 127, 9.40873, 10.5848, 15, 8, 15, 9, 450, 4, 15
1984911, 128, 9.76001, 10.6051, 1792, 3, 448, 4, 3584, 3, 448
2032947, 129, 8.34311, 10.6221, 604, 3, 3473, 3, 453, 4, 151
2276383, 130, 10.1675, 10.6958, 2450, 3, 3675, 3, 35, 7, 35
2432794, 131, 9.48859, 10.743, 1455, 3, 485, 4, 3880, 3, 485
2461578, 132, 10.7465, 10.7465, 486, 4, 486, 4, 162, 5, 162
2551235, 133, 9.16613, 10.7749, 1136, 3, 3905, 3, 497, 4, 71
2564866, 134, 10.7537, 10.7745, 488, 4, 3904, 3, 4880, 3, 488
2576194, 135, 10.5767, 10.7775, 3354, 3, 3913, 3, 559, 4, 559
2649467, 136, 10.7959, 10.7959, 500, 4, 500, 4, 5000, 3, 500
2689981, 137, 9.01038, 10.8097, 1008, 3, 504, 4, 4032, 3, 504
2785996, 138, 8.12526, 10.8337, 511, 3, 511, 4, 4088, 3, 511
2797824, 139, 9.03725, 10.8366, 1029, 3, 147, 5, 4116, 3, 147
2809701, 140, 8.13035, 10.8396, 513, 3, 4104, 3, 513, 4, 513
2815637, 141, 10.8371, 10.8371, 2, 36, 2, 36, 2, 37, 2
2820371, 142, 10.4648, 10.8405, 3078, 3, 513, 4, 4617, 3, 513
2886295, 143, 9.0511, 10.8573, 1040, 3, 4160, 3, 520, 4, 520
2983539, 144, 7.50025, 10.8805, 75, 4, 150, 5, 525, 4, 75
3093603, 145, 9.62613, 10.904, 1617, 3, 4312, 3, 539, 4, 539
3180261, 146, 10.3952, 10.9205, 397, 4, 4367, 3, 4764, 3, 397
3182168, 148, 10.7032, 10.9208, 3696, 3, 4368, 3, 168, 5, 168
3181972, 147, 10.0195, 10.9226, 3, 21, 4374, 3, 3, 23, 3
3469995, 149, 10.8406, 10.9774, 4107, 3, 37, 7, 74, 6, 37
3507032, 150, 10.1412, 10.9863, 7, 12, 7, 13, 4802, 3, 7
3530932, 151, 10.0874, 10.9905, 48, 6, 4608, 3, 24, 8, 24
3833702, 152, 11.0443, 11.0443, 4802, 3, 4802, 3, 686, 4, 686
3835089, 153, 9.84359, 11.0477, 17, 8, 578, 4, 17, 9, 17
3849069, 154, 7.75976, 11.0505, 386, 3, 4825, 3, 579, 4, 193
4291382, 155, 10.5093, 11.1217, 3185, 3, 5096, 3, 637, 4, 637
4294744, 156, 10.44, 11.1241, 3020, 3, 604, 4, 5436, 3, 604
4408023, 157, 11.1381, 11.1381, 2, 37, 2, 37, 2, 38, 2
4410999, 158, 10.6926, 11.1405, 3666, 3, 5170, 3, 658, 4, 94
4484123, 159, 7.46142, 11.1527, 307, 3, 614, 4, 5219, 3, 307
4788861, 160, 7.81697, 11.1972, 90, 4, 5400, 3, 630, 4, 90
4840124, 161, 11.1184, 11.2015, 602, 4, 5418, 3, 6622, 3, 602
4935641, 162, 10.8806, 11.2152, 525, 4, 175, 5, 700, 4, 175
5200154, 163, 10.6847, 11.2511, 469, 4, 5628, 3, 6097, 3, 469
5215220, 164, 7.00938, 11.2543, 217, 3, 5642, 3, 651, 4, 217
5356297, 165, 10.988, 11.2703, 4599, 3, 657, 4, 6570, 3, 657
5514864, 166, 10.2746, 11.2913, 2660, 3, 665, 4, 5985, 3, 665
5554841, 167, 10.9208, 11.2957, 4368, 3, 5824, 3, 728, 4, 728
6165026, 168, 10.4623, 11.3654, 3072, 3, 6144, 3, 192, 5, 192
6310019, 169, 9.16384, 11.3823, 1134, 3, 189, 5, 6237, 3, 189
6345639, 170, 9.97038, 11.3853, 2106, 3, 702, 4, 6318, 3, 702
6795771, 171, 9.4769, 11.4317, 1442, 3, 721, 4, 6489, 3, 721
6897693, 172, 11.4391, 11.4391, 2, 38, 2, 38, 2, 39, 2
6966617, 173, 8.58639, 11.4485, 728, 3, 728, 4, 6552, 3, 728
7007766, 174, 8.58997, 11.4527, 730, 3, 6570, 3, 730, 4, 730
7139538, 175, 9.50549, 11.4651, 1474, 3, 6633, 3, 737, 4, 737
7507395, 176, 10.0669, 11.4983, 2268, 3, 6804, 3, 756, 4, 756
7596922, 177, 11.3312, 11.5052, 5985, 3, 6840, 3, 855, 4, 855
8181492, 178, 10.9519, 11.5558, 547, 4, 7111, 3, 7658, 3, 547
8240372, 179, 10.504, 11.5605, 3172, 3, 7137, 3, 793, 4, 793
8451155, 180, 11.0174, 11.5773, 4704, 3, 28, 8, 7840, 3, 28
8583492, 181, 11.4485, 11.5864, 728, 4, 7280, 3, 8736, 3, 728
9269815, 182, 7.29891, 11.6404, 271, 3, 813, 4, 7588, 3, 271
9473815, 183, 11.4491, 11.6531, 6552, 3, 819, 4, 9009, 3, 819
9517518, 184, 10.8913, 11.6571, 4270, 3, 7686, 3, 854, 4, 854
10532517, 185, 9.32265, 11.7258, 1281, 3, 854, 4, 8113, 3, 427
10794301, 186, 11.7402, 11.7402, 2, 39, 2, 39, 2, 40, 2
10887706, 187, 11.7461, 11.7461, 864, 4, 864, 4, 10368, 3, 864
10946289, 188, 11.1914, 11.7512, 5376, 3, 224, 5, 8960, 3, 224
11224931, 189, 10.9229, 11.768, 4375, 3, 875, 4, 8750, 3, 875
11396668, 190, 10.198, 11.7784, 2508, 3, 8436, 3, 228, 5, 228
11579365, 191, 11.2607, 11.789, 5670, 3, 8505, 3, 945, 4, 945
11622854, 192, 11.766, 11.7898, 874, 4, 8510, 3, 10626, 3, 46
11773255, 193, 11.4651, 11.7997, 735, 4, 8575, 3, 980, 4, 245
12170856, 194, 8.33879, 11.8228, 602, 3, 903, 4, 8729, 3, 301
12257629, 195, 11.8257, 11.8257, 8748, 3, 8748, 3, 54, 7, 54
12404642, 196, 11.6713, 11.8343, 7770, 3, 8806, 3, 1036, 4, 518
12479713, 197, 11.2001, 11.8385, 631, 4, 8834, 3, 9465, 3, 631
13367022, 198, 10.72, 11.8851, 3744, 3, 936, 4, 9360, 3, 936
13690390, 199, 10.725, 11.9011, 480, 4, 240, 5, 960, 4, 240
14006947, 200, 11.1835, 11.9159, 5, 16, 9375, 3, 250, 5, 5
14456264, 201, 11.7501, 11.9367, 866, 4, 9526, 3, 11258, 3, 866
14776239, 202, 10.3957, 11.9525, 2919, 3, 973, 4, 9730, 3, 973
14809081, 203, 11.6259, 11.9533, 7504, 3, 9648, 3, 1072, 4, 1072
15382201, 204, 11.5196, 11.979, 6916, 3, 988, 4, 10868, 3, 988
15532812, 205, 9.89263, 11.986, 1984, 3, 992, 4, 9920, 3, 992
15661697, 206, 11.9897, 11.9897, 250, 5, 250, 5, 12500, 3, 250
15819361, 207, 8.9987, 11.9983, 999, 3, 999, 4, 9990, 3, 999
15858919, 208, 11.8614, 11.9983, 8991, 3, 999, 4, 11988, 3, 999
15887188, 209, 9.0013, 12.0013, 1001, 3, 10010, 3, 1001, 4, 1001
16105848, 210, 9.91347, 12.0104, 2016, 3, 10080, 3, 1008, 4, 1008
16188588, 211, 10.5603, 12.0138, 3312, 3, 1008, 4, 10224, 3, 144
16654545, 212, 9.62616, 12.0327, 255, 4, 255, 5, 1020, 4, 255
16709624, 213, 10.4661, 12.0347, 3081, 3, 10270, 3, 1027, 4, 1027
16907527, 214, 12.0412, 12.0412, 2, 40, 2, 40, 2, 41, 2
17036319, 215, 9.63973, 12.048, 257, 4, 1028, 4, 257, 5, 257
17768523, 216, 11.8362, 12.0749, 910, 4, 260, 5, 1170, 4, 130
17897513, 217, 10.887, 12.0808, 4256, 3, 10640, 3, 1064, 4, 1064
18299496, 218, 11.6003, 12.0947, 7358, 3, 10754, 3, 1132, 4, 566
18494590, 219, 11.4317, 12.1021, 721, 4, 10815, 3, 11536, 3, 721
18888003, 220, 10.4967, 12.1165, 3, 22, 10935, 3, 54, 7, 3
