Search the first 100000000 integer powers of ^3 or more for Beal's triples.
Search begins for B^j = 0:0, log10(Bj) = 0
23.9861 log10 of highest power in the list
hardware concurrency: 16
trials, zeros, log10(A^i), log10(B^j), A, i, B, j, C, k, GCD(A B C)
21233658021151, 6436, 20.3512, 21.3, 6077792, 3, 12589712, 3, 217064, 4, 217064
21233972960978, 6437, 20.1689, 21.3001, 5283900, 3, 211356, 4, 12892716, 3, 211356
21252342967248, 6438, 20.7456, 21.3006, 153601, 4, 12595282, 3, 13670489, 3, 153601
21259195622896, 6439, 20.8327, 21.3008, 161504, 4, 12597312, 3, 13889344, 3, 161504
21260718216246, 6440, 19.5739, 21.3009, 78247, 4, 12597767, 3, 12676014, 3, 78247
21269854924140, 6441, 18.0352, 21.3012, 1027378, 3, 12600489, 3, 211519, 4, 30217
21270014187065, 6442, 20.6805, 21.3012, 7825167, 3, 211491, 4, 13535424, 3, 211491
21283062498159, 6443, 20.5895, 21.3016, 7297290, 3, 12604410, 3, 221130, 4, 221130
21285239818725, 6444, 21.1875, 21.3016, 11547866, 3, 12605065, 3, 243969, 4, 81323
21380530161747, 6445, 19.5908, 21.3046, 3390464, 3, 211904, 4, 12714240, 3, 211904
21417611175535, 6446, 20.2263, 21.3057, 113913, 4, 12644343, 3, 12986082, 3, 113913
21431980301956, 6447, 20.9157, 21.3061, 169401, 4, 12648608, 3, 14173217, 3, 56467
21435267730594, 6448, 19.2734, 21.3062, 2657475, 3, 12649581, 3, 212598, 4, 106299
21445891143393, 6449, 19.8916, 21.3066, 4270968, 3, 18252, 5, 234, 9, 234
21449229617021, 6450, 21.2374, 21.3067, 17680, 5, 212160, 4, 247520, 4, 17680
21457813553368, 6451, 20.4038, 21.3069, 6328125, 3, 12656250, 3, 1125, 7, 1125
21470162639037, 6452, 18.2405, 21.3073, 1202682, 3, 212238, 4, 12663534, 3, 70746
21473449661352, 6453, 21.0545, 21.3074, 183491, 4, 12660879, 3, 14679280, 3, 183491
21483138840140, 6454, 19.9618, 21.3077, 4507440, 3, 12663760, 3, 214640, 4, 214640
21506367093523, 6455, 20.8935, 21.3084, 9215000, 3, 12670625, 3, 230375, 4, 230375
21507851807261, 6456, 20.7685, 21.3084, 8371953, 3, 12671064, 3, 226269, 4, 226269
21526550245577, 6457, 17.5504, 21.309, 708190, 3, 12676601, 3, 212457, 4, 70819
21569574458633, 6458, 20.6557, 21.3103, 145854, 4, 12689298, 3, 13564422, 3, 145854
21574322678072, 6459, 19.5111, 21.3105, 3189375, 3, 212625, 4, 12757500, 3, 212625
21629598839106, 6460, 19.9194, 21.3121, 4363015, 3, 212830, 4, 12876215, 3, 106415
21641133790512, 6461, 21.1808, 21.3125, 11488257, 3, 12710412, 3, 244431, 4, 244431
21665780099329, 6462, 20.9582, 21.3132, 9684108, 3, 12717684, 3, 233352, 4, 116676
21674012052074, 6463, 21.1003, 21.3135, 10800090, 3, 12720106, 3, 240002, 4, 240002
21692822814596, 6464, 20.5448, 21.314, 136835, 4, 12725655, 3, 13409830, 3, 136835
21711209299099, 6465, 20.4115, 21.3146, 2523, 6, 12731058, 3, 219501, 4, 2523
21717984700071, 6466, 20.1267, 21.3148, 5115768, 3, 213157, 4, 13002577, 3, 213157
21744791597857, 6467, 19.4251, 21.3156, 2985584, 3, 213256, 4, 12795360, 3, 213256
21754565321301, 6468, 21.2884, 21.3159, 12477582, 3, 213292, 4, 15890254, 3, 106646
21760592372968, 6469, 20.0308, 21.3161, 4752594, 3, 12745593, 3, 216027, 4, 216027
21771376705162, 6470, 20.4335, 21.3164, 128345, 4, 18335, 5, 220020, 4, 18335
21775354794669, 6471, 17.8727, 21.3165, 906899, 3, 12749933, 3, 213388, 4, 53347
21784081008387, 6472, 21.2322, 21.3168, 11950456, 3, 213401, 4, 15578273, 3, 213401
21785998390996, 6473, 20.3077, 21.3168, 5878080, 3, 213408, 4, 13156416, 3, 3744
21785998799761, 6474, 20.8574, 21.3168, 8963136, 3, 213408, 4, 14084928, 3, 213408
21816926575142, 6475, 21.1774, 21.3178, 11459014, 3, 213522, 4, 15302410, 3, 71174
21827704692724, 6476, 21.266, 21.3181, 12264700, 3, 12765300, 3, 250300, 4, 250300
21879649714388, 6477, 19.9974, 21.3196, 99848, 4, 12780544, 3, 12980240, 3, 99848
21893250705130, 6478, 19.3319, 21.3201, 2779439, 3, 213803, 4, 12828180, 3, 213803
21899381113685, 6479, 19.2663, 21.3202, 2642984, 3, 12786328, 3, 214296, 4, 71432
21929506987004, 6480, 19.5218, 21.3211, 3215625, 3, 18375, 5, 12862500, 3, 18375
21930278508383, 6481, 20.3781, 21.3212, 6204231, 3, 213939, 4, 13264218, 3, 213939
21933523090179, 6482, 20.6481, 21.3213, 7632898, 3, 12796329, 3, 224497, 4, 224497
21933856658869, 6483, 21.0245, 21.3213, 10189753, 3, 12796434, 3, 236971, 4, 236971
21958628699526, 6484, 20.5891, 21.322, 7295120, 3, 12803680, 3, 223320, 4, 74440
21976877953054, 6485, 20.5475, 21.3225, 7065630, 3, 214110, 4, 13488930, 3, 214110
21987651672052, 6486, 20.9302, 21.3229, 170829, 4, 12812175, 3, 14349636, 3, 170829
21996923095586, 6487, 19.8212, 21.3231, 4046240, 3, 18392, 5, 12947968, 3, 18392
22008775011537, 6488, 20.7089, 21.3235, 7997808, 3, 214227, 4, 13781937, 3, 71409
22012761240343, 6489, 21.1743, 21.3236, 11431420, 3, 12819521, 3, 244959, 4, 81653
22021038628187, 6490, 19.2304, 21.3239, 2571264, 3, 214272, 4, 12856320, 3, 214272
22026261745201, 6491, 20.1943, 21.324, 5387888, 3, 214291, 4, 13132977, 3, 30613
22030266442119, 6492, 21.0029, 21.3241, 178120, 4, 12824640, 3, 14605840, 3, 178120
22058968418418, 6493, 20.8538, 21.325, 163478, 4, 12833023, 3, 14140847, 3, 81739
22060536300362, 6494, 19.5953, 21.325, 79219, 4, 12833478, 3, 12912697, 3, 79219
22066500842514, 6495, 20.0978, 21.3252, 5003558, 3, 12835214, 3, 217546, 4, 217546
22073520773509, 6496, 20.2051, 21.3254, 5433088, 3, 214464, 4, 13153792, 3, 71488
22129578283988, 6497, 19.1195, 21.3271, 2361359, 3, 214669, 4, 12880140, 3, 214669
22150512378114, 6498, 20.4196, 21.3277, 127324, 4, 12859724, 3, 13369020, 3, 127324
22169322234840, 6499, 20.0814, 21.3283, 4940722, 3, 214814, 4, 13103654, 3, 214814
22220366468334, 6500, 18.9973, 21.3298, 2150000, 3, 215000, 4, 12900000, 3, 215000
22228713343366, 6501, 20.4711, 21.33, 6663360, 3, 12882496, 3, 222112, 4, 222112
Elapsed time: 21023.3 seconds
22228720703664, 6502, 21.1357, 21.33, 192276, 4, 12882492, 3, 15189804, 3, 192276
22235538528381, 6503, 19.9905, 21.3302, 99456, 4, 12884480, 3, 13078016, 3, 896
22252137735003, 6504, 21.2786, 21.3307, 12383976, 3, 18456, 5, 15927528, 3, 18456
22260144351888, 6505, 20.6181, 21.3309, 7459350, 3, 1115, 7, 13675475, 3, 1115
22294834820140, 6506, 18.8617, 21.3319, 1937439, 3, 215271, 4, 12916260, 3, 215271
22304446033036, 6507, 20.7724, 21.3322, 8396934, 3, 215306, 4, 13994890, 3, 215306
22314147678839, 6508, 20.8273, 21.3325, 8758544, 3, 12907328, 3, 230488, 4, 230488
22354553675657, 6509, 18.7095, 21.3337, 1723904, 3, 215488, 4, 12929280, 3, 215488
22354557087587, 6510, 20.6692, 21.3337, 7757568, 3, 215488, 4, 13791232, 3, 215488
22372837460212, 6511, 19.2589, 21.3342, 2628073, 3, 12924359, 3, 216006, 4, 36001
22379637097351, 6512, 20.9312, 21.3344, 9485476, 3, 215579, 4, 14443793, 3, 215579
22398186503780, 6513, 21.3053, 21.335, 211995, 4, 12931695, 3, 16111620, 3, 211995
22400811751246, 6514, 21.1681, 21.335, 11377289, 3, 12932458, 3, 245553, 4, 81851
22401172692182, 6515, 18.5366, 21.3351, 1509599, 3, 215657, 4, 12939420, 3, 215657
22402565406865, 6516, 20.1632, 21.3351, 5260872, 3, 12932977, 3, 219203, 4, 219203
22431239753947, 6517, 20.9532, 21.3359, 9647136, 3, 12941280, 3, 235296, 4, 235296
22431825831307, 6518, 20.4549, 21.3359, 6580924, 3, 215768, 4, 13485500, 3, 107884
22432895783046, 6519, 20.4201, 21.336, 6407440, 3, 12941760, 3, 222040, 4, 31720
22436242102302, 6520, 18.3365, 21.3361, 1294704, 3, 215784, 4, 12947040, 3, 215784
22436293223480, 6521, 21.1992, 21.3361, 11652336, 3, 215784, 4, 15536448, 3, 215784
22461398597078, 6522, 18.0995, 21.3368, 1079375, 3, 215875, 4, 12952500, 3, 215875
22478228590876, 6523, 17.8092, 21.3373, 863744, 3, 215936, 4, 12956160, 3, 215936
22488479731256, 6524, 17.4346, 21.3376, 647919, 3, 215973, 4, 12958380, 3, 215973
22493710248797, 6525, 16.9064, 21.3378, 431984, 3, 215992, 4, 12959520, 3, 215992
22495665451457, 6526, 16.0034, 21.3378, 215999, 3, 215999, 4, 12959940, 3, 215999
22496126113851, 6527, 16.0034, 21.3378, 216001, 3, 12960060, 3, 216001, 4, 216001
22497583203325, 6528, 16.9065, 21.3379, 432016, 3, 12960480, 3, 216008, 4, 216008
22500060704612, 6529, 19.5604, 21.3379, 3312230, 3, 216015, 4, 13032905, 3, 72005
22501541810734, 6530, 17.4349, 21.338, 648081, 3, 12961620, 3, 216027, 4, 216027
22509217724373, 6531, 17.8099, 21.3382, 864256, 3, 12963840, 3, 216064, 4, 216064
22514587206743, 6532, 17.9581, 21.3384, 30870, 4, 12965400, 3, 216090, 4, 30870
22517448006458, 6533, 21.3384, 21.3384, 18522, 5, 18522, 5, 16336404, 3, 18522
22521852218075, 6534, 18.101, 21.3386, 1080625, 3, 12967500, 3, 216125, 4, 216125
22540778159483, 6535, 18.3391, 21.3391, 1297296, 3, 12972960, 3, 216216, 4, 216216
22555283634162, 6536, 20.9448, 21.3395, 172263, 4, 12977146, 3, 14527513, 3, 57421
22567151801611, 6537, 18.5407, 21.3399, 1514401, 3, 12980580, 3, 216343, 4, 216343
22586137790682, 6538, 20.257, 21.3404, 115947, 4, 12986064, 3, 13333905, 3, 115947
22588179071771, 6539, 20.0326, 21.3405, 4759326, 3, 216333, 4, 13196313, 3, 216333
22600083256917, 6540, 20.3471, 21.3408, 6058528, 3, 216376, 4, 13415312, 3, 216376
22602265404595, 6541, 18.7157, 21.3409, 1732096, 3, 12990720, 3, 216512, 4, 216512
22618005297835, 6542, 21.2035, 21.3414, 199927, 4, 12995255, 3, 15594306, 3, 199927
22624130319311, 6543, 20.029, 21.3415, 4746105, 3, 12997026, 3, 219051, 4, 73017
22633439202900, 6544, 21.3189, 21.3418, 12773264, 3, 216496, 4, 16237200, 3, 216496
22634034762877, 6545, 20.7064, 21.3418, 7982380, 3, 12999876, 3, 228068, 4, 228068
22647450624929, 6546, 18.8705, 21.3422, 1950561, 3, 13003740, 3, 216729, 4, 216729
22661784897496, 6547, 20.5888, 21.3426, 7293430, 3, 13007870, 3, 225570, 4, 75190
22664363904387, 6548, 21.2596, 21.3427, 206486, 4, 13008618, 3, 15899422, 3, 206486
22675243243962, 6549, 21.0744, 21.343, 185610, 4, 18561, 5, 241293, 4, 18561
22703882506369, 6550, 19.0094, 21.3438, 2170000, 3, 13020000, 3, 217000, 4, 217000
22726904344677, 6551, 20.4541, 21.3445, 6577168, 3, 13026624, 3, 223496, 4, 31928
22768372370049, 6552, 20.7371, 21.3457, 8172951, 3, 216981, 4, 14031438, 3, 72327
22770768617239, 6553, 20.227, 21.3458, 5525100, 3, 13039236, 3, 221004, 4, 221004
22772941827792, 6554, 19.1355, 21.3458, 2390641, 3, 13039860, 3, 217331, 4, 217331
22788624288569, 6555, 20.5301, 21.3463, 6971993, 3, 13044374, 3, 224903, 4, 224903
22794188447464, 6556, 19.9581, 21.3464, 4494830, 3, 13045970, 3, 219260, 4, 109630
22800399126022, 6557, 20.9982, 21.3466, 9986416, 3, 217096, 4, 14762528, 3, 217096
22803635334803, 6558, 20.786, 21.3467, 157213, 4, 13048679, 3, 14149170, 3, 157213
22805765449113, 6559, 21.1622, 21.3468, 11325798, 3, 13049289, 3, 246213, 4, 246213
22834184501615, 6560, 19.8679, 21.3476, 4193959, 3, 217217, 4, 13200110, 3, 16709
22851415012365, 6561, 21.2438, 21.3481, 12057600, 3, 13062400, 3, 251200, 4, 251200
22851514748896, 6562, 20.5265, 21.3481, 6952928, 3, 217279, 4, 13688577, 3, 217279
22855872416178, 6563, 19.2513, 21.3482, 2612736, 3, 13063680, 3, 217728, 4, 217728
22858187273867, 6564, 21.1592, 21.3483, 11299756, 3, 217303, 4, 15428513, 3, 217303
22861296865632, 6565, 20.8964, 21.3484, 9235845, 3, 217314, 4, 14451381, 3, 108657
22883696304134, 6566, 20.8748, 21.349, 165464, 4, 13071656, 3, 14395368, 3, 165464
22885286358743, 6567, 19.6166, 21.349, 80197, 4, 13072111, 3, 13152308, 3, 80197
22915793752379, 6568, 20.0242, 21.3499, 101402, 4, 13080858, 3, 13283662, 3, 101402
22924566536941, 6569, 21.2306, 21.3502, 11936625, 3, 13083375, 3, 20850, 5, 10425
22940166746840, 6570, 20.2411, 21.3506, 5584964, 3, 217596, 4, 13418420, 3, 72532
22954097040304, 6571, 19.3584, 21.351, 2836561, 3, 13091820, 3, 218197, 4, 218197
22974890062225, 6572, 19.9804, 21.3516, 4572120, 3, 217720, 4, 13280920, 3, 217720
22977141969362, 6573, 19.8981, 21.3517, 4292352, 3, 217728, 4, 13250304, 3, 31104
22993129200151, 6574, 21.0853, 21.3521, 10676512, 3, 13102992, 3, 242648, 4, 242648
23030160904464, 6575, 21.0586, 21.3532, 10460016, 3, 217917, 4, 15036273, 3, 217917
23053492716323, 6576, 21.1123, 21.3538, 10900000, 3, 218000, 4, 15260000, 3, 218000
23059120228173, 6577, 20.6941, 21.354, 149112, 4, 13121856, 3, 14016528, 3, 149112
23059617720819, 6578, 19.4509, 21.354, 270, 8, 13122000, 3, 218700, 4, 270
23068870680986, 6579, 19.4582, 21.3543, 3062416, 3, 13124640, 3, 218744, 4, 218744
23069793314643, 6580, 21.2209, 21.3543, 11847818, 3, 218058, 4, 15772862, 3, 72686
23098877827897, 6581, 20.581, 21.3551, 139715, 4, 13133210, 3, 13831785, 3, 139715
23123406846198, 6582, 21.33, 21.3558, 12882550, 3, 13140201, 3, 257651, 4, 257651
23135063730569, 6583, 20.9592, 21.3561, 173703, 4, 13143527, 3, 14706854, 3, 57901
23172999207549, 6584, 20.2896, 21.3572, 5796830, 3, 13154345, 3, 222955, 4, 222955
23180064912436, 6585, 20.886, 21.3574, 9162465, 3, 13156360, 3, 234935, 4, 234935
23199567000007, 6586, 21.1425, 21.358, 11155970, 3, 218519, 4, 15422841, 3, 11501
23201615039627, 6587, 19.5518, 21.358, 3290625, 3, 13162500, 3, 219375, 4, 219375
23215343740998, 6588, 20.8572, 21.3584, 8961575, 3, 218575, 4, 14425950, 3, 218575
23228272049724, 6589, 21.1566, 21.3588, 11276881, 3, 13170080, 3, 246939, 4, 82313
23235089550662, 6590, 20.3133, 21.359, 5903415, 3, 218645, 4, 13555990, 3, 218645
23244904902953, 6591, 20.9487, 21.3592, 9614052, 3, 13174812, 3, 237384, 4, 118692
23250888776483, 6592, 20.9915, 21.3594, 9935274, 3, 218701, 4, 14840425, 3, 31243
23251443841496, 6593, 20.5143, 21.3594, 134456, 4, 13176688, 3, 19208, 5, 19208
23260811563258, 6594, 18.5814, 21.3597, 1562400, 3, 218736, 4, 13186656, 3, 31248
23264958250141, 6595, 17.742, 21.3598, 820365, 3, 13180531, 3, 218764, 4, 54691
23301381695727, 6596, 21.1007, 21.3608, 188441, 4, 13190870, 3, 15263721, 3, 188441
23330048902731, 6597, 19.9243, 21.3616, 4379620, 3, 218981, 4, 13357841, 3, 218981
23348644068742, 6598, 19.2434, 21.3621, 2596967, 3, 13204297, 3, 219462, 4, 36577
23353799891280, 6599, 19.6402, 21.3623, 3521536, 3, 13205760, 3, 220096, 4, 220096
23381493933116, 6600, 20.4711, 21.3631, 6663283, 3, 13213629, 3, 225874, 4, 112937
23387759801310, 6601, 20.7645, 21.3632, 8346564, 3, 13215393, 3, 231849, 4, 231849
Elapsed time: 22217.4 seconds
23393542819086, 6602, 20.5886, 21.3634, 7292160, 3, 13217040, 3, 227880, 4, 227880
23411682884573, 6603, 20.6551, 21.3639, 7674415, 3, 219269, 4, 14033216, 3, 219269
23423252066324, 6604, 21.0129, 21.3642, 10099446, 3, 13225465, 3, 240463, 4, 240463
23439205722786, 6605, 18.4284, 21.3647, 1389318, 3, 219366, 4, 13235082, 3, 73122
23441758951488, 6606, 21.2717, 21.3647, 12318750, 3, 219375, 4, 16115625, 3, 16875
23458746858782, 6607, 19.6088, 21.3652, 3437815, 3, 219435, 4, 13312390, 3, 73145
23473855102778, 6608, 21.3656, 21.3656, 219488, 4, 219488, 4, 16681088, 3, 219488
23474967066630, 6609, 19.315, 21.3657, 2743650, 3, 219492, 4, 13279266, 3, 109746
23476026768284, 6610, 20.4532, 21.3657, 129808, 4, 13240416, 3, 13759648, 3, 129808
23515378142432, 6611, 17.303, 21.3668, 585704, 3, 13251553, 3, 219639, 4, 73213
23522984387268, 6612, 20.027, 21.367, 4738752, 3, 13253697, 3, 222129, 4, 74043
23526808910036, 6613, 19.724, 21.3671, 3755521, 3, 13254780, 3, 220913, 4, 220913
23540919763237, 6614, 21.3492, 21.3675, 13073578, 3, 219724, 4, 16589162, 3, 109862
23549183017831, 6615, 20.7652, 21.3677, 8350614, 3, 219753, 4, 14283945, 3, 219753
23611299810617, 6616, 20.351, 21.3695, 6076674, 3, 13278658, 3, 225062, 4, 225062
23628412013886, 6617, 21.2951, 21.3699, 12541767, 3, 220031, 4, 16282294, 3, 220031
23650613973870, 6618, 21.3041, 21.3705, 12628928, 3, 13289744, 3, 256984, 4, 36712
23654389379650, 6619, 19.8643, 21.3707, 4182318, 3, 220122, 4, 13427442, 3, 220122
23668884979330, 6620, 21.1512, 21.3711, 11230472, 3, 13294897, 3, 247731, 4, 82577
23692650289190, 6621, 20.5029, 21.3717, 6827936, 3, 220256, 4, 13876128, 3, 220256
23717804503657, 6622, 21.2425, 21.3724, 12045472, 3, 220344, 4, 16011664, 3, 73448
23722177466198, 6623, 19.8039, 21.3725, 3992976, 3, 13309920, 3, 221832, 4, 221832
23727167622004, 6624, 20.9736, 21.3727, 175149, 4, 13311324, 3, 14887665, 3, 175149
23733945823522, 6625, 20.8957, 21.3729, 167462, 4, 13313229, 3, 14652925, 3, 83731
23735544134276, 6626, 19.6378, 21.3729, 81181, 4, 13313684, 3, 13394865, 3, 81181
23744135976548, 6627, 21.3731, 21.3731, 2, 71, 2, 71, 2, 72, 2
23807404442167, 6628, 20.2875, 21.3749, 117999, 4, 13333887, 3, 13687884, 3, 117999
23826838632514, 6629, 20.8471, 21.3754, 8892480, 3, 18840, 5, 14544480, 3, 18840
23834646141965, 6630, 20.2766, 21.3756, 5739552, 3, 220752, 4, 13686624, 3, 220752
23837006558574, 6631, 21.0476, 21.3757, 182770, 4, 13342210, 3, 15169910, 3, 182770
23851269897239, 6632, 19.2352, 21.3761, 2580760, 3, 13346216, 3, 221208, 4, 73736
23941477020085, 6633, 19.8804, 21.3785, 4234321, 3, 13371540, 3, 222859, 4, 222859
23948658981562, 6634, 19.7999, 21.3787, 3980682, 3, 221149, 4, 13490089, 3, 221149
23979458571875, 6635, 20.9351, 21.3796, 9514008, 3, 221256, 4, 14824152, 3, 221256
23992545141576, 6636, 20.0508, 21.3799, 102968, 4, 13385840, 3, 13591776, 3, 102968
24007690416526, 6637, 17.9949, 21.3803, 996093, 3, 221354, 4, 13391917, 3, 110677
24018489234098, 6638, 21.2241, 21.3806, 11876900, 3, 13393100, 3, 252700, 4, 252700
24043187920990, 6639, 17.6683, 21.3813, 775208, 3, 13400024, 3, 221488, 4, 110744
24046119594924, 6640, 20.6467, 21.3814, 7624617, 3, 13400842, 3, 231049, 4, 231049
24087937447400, 6641, 20.4115, 21.3825, 6365268, 3, 13412529, 3, 227331, 4, 227331
24097567616827, 6642, 20.2803, 21.3828, 5755530, 3, 13415226, 3, 225918, 4, 10758
24109269786889, 6643, 20.9447, 21.3831, 9584640, 3, 13418496, 3, 239616, 4, 239616
24128328540557, 6644, 21.1461, 21.3836, 11186505, 3, 13423806, 3, 248589, 4, 248589
24148190305039, 6645, 21.3067, 21.3842, 12654593, 3, 13429364, 3, 258257, 4, 258257
24154961220886, 6646, 20.5884, 21.3843, 7291250, 3, 13431250, 3, 230250, 4, 76750
24167048693924, 6647, 21.1829, 21.3847, 197568, 4, 13434624, 3, 15805440, 3, 197568
24186342579130, 6648, 19.9538, 21.3852, 4480000, 3, 13440000, 3, 224000, 4, 224000
24197885798566, 6649, 20.8225, 21.3855, 8726302, 3, 13443222, 3, 235846, 4, 235846
24213910031236, 6650, 19.7308, 21.3859, 3775156, 3, 222068, 4, 13546148, 3, 222068
24331895539464, 6651, 20.988, 21.3891, 176601, 4, 13480543, 3, 15069952, 3, 58867
24347275387473, 6652, 21.369, 21.3895, 13274100, 3, 18963, 5, 16858107, 3, 18963
24351755731493, 6653, 20.793, 21.3897, 8530815, 3, 222543, 4, 14539476, 3, 74181
24363895915158, 6654, 19.2268, 21.39, 2564109, 3, 13489443, 3, 222966, 4, 111483
24367752716906, 6655, 21.1986, 21.3901, 11646670, 3, 13490505, 3, 252035, 4, 13265
24380532773239, 6656, 21.2639, 21.3904, 12245310, 3, 222642, 4, 16252866, 3, 222642
24388711208348, 6657, 20.0403, 21.3906, 4787405, 3, 222670, 4, 13694205, 3, 111335
24398312495287, 6658, 20.237, 21.3909, 5567575, 3, 222703, 4, 13807586, 3, 222703
24438169859504, 6659, 20.6384, 21.392, 7576560, 3, 222840, 4, 14261760, 3, 222840
24448122391290, 6660, 20.8259, 21.3922, 160867, 4, 13512828, 3, 14638897, 3, 160867
24451302791367, 6661, 19.6566, 21.3923, 3566160, 3, 222885, 4, 13595985, 3, 222885
24458354483591, 6662, 20.0247, 21.3925, 4730481, 3, 13515660, 3, 225261, 4, 225261
24477817732910, 6663, 21.3792, 21.393, 13378560, 3, 222976, 4, 16946176, 3, 222976
24480149286354, 6664, 18.5165, 21.3931, 1486560, 3, 222984, 4, 13527696, 3, 74328
24486635504223, 6665, 21.0726, 21.3933, 10572926, 3, 13523510, 3, 245882, 4, 245882
24498527949689, 6666, 20.4766, 21.3936, 6691410, 3, 223047, 4, 14051961, 3, 223047
24505415494942, 6667, 21.3555, 21.3938, 218205, 4, 13528710, 3, 16801785, 3, 218205
24511555984359, 6668, 21.3939, 21.3939, 13530402, 3, 13530402, 3, 265302, 4, 265302
24569429766841, 6669, 17.1506, 21.3955, 521017, 3, 13546442, 3, 223293, 4, 74431
24574440530945, 6670, 21.0063, 21.3956, 10048815, 3, 223307, 4, 15184876, 3, 223307
24580022516486, 6671, 20.6168, 21.3958, 142625, 4, 13549375, 3, 14262500, 3, 142625
24588063116045, 6672, 18.8032, 21.396, 1852438, 3, 13551594, 3, 223496, 4, 4298
24605126100239, 6673, 20.4711, 21.3964, 6663272, 3, 13556312, 3, 229768, 4, 229768
24607178196390, 6674, 21.1412, 21.3965, 11144914, 3, 13556873, 3, 249513, 4, 83171
24610368929619, 6675, 20.9164, 21.3966, 169472, 4, 13557760, 3, 14913536, 3, 169472
24612025051791, 6676, 19.6589, 21.3966, 82171, 4, 13558215, 3, 13640386, 3, 82171
24629767619241, 6677, 20.854, 21.3971, 8939840, 3, 223496, 4, 14750736, 3, 223496
24633420454775, 6678, 20.732, 21.3972, 152406, 4, 13564134, 3, 14478570, 3, 152406
24639584113333, 6679, 21.2516, 21.3973, 205543, 4, 13565838, 3, 16237897, 3, 205543
24661984757085, 6680, 19.5767, 21.3979, 3354090, 3, 223606, 4, 13639966, 3, 223606
24679241371382, 6681, 20.8675, 21.3984, 14911, 5, 223665, 4, 238576, 4, 14911
24741989912227, 6682, 21.3087, 21.4001, 212408, 4, 13594112, 3, 16567824, 3, 212408
24749305329366, 6683, 20.7044, 21.4002, 7970144, 3, 13596128, 3, 234416, 4, 234416
24757599114093, 6684, 20.3119, 21.4005, 5896876, 3, 223932, 4, 13958428, 3, 74644
24759317465233, 6685, 20.0933, 21.4005, 4986256, 3, 13598880, 3, 226648, 4, 226648
24769338788290, 6686, 20.7552, 21.4008, 8286964, 3, 223972, 4, 14558180, 3, 223972
24844464752663, 6687, 17.5878, 21.4028, 728767, 3, 13622337, 3, 224236, 4, 56059
24847272759357, 6688, 19.4905, 21.4028, 3139318, 3, 224237, 4, 13678457, 3, 224237
24866997831340, 6689, 20.4864, 21.4033, 132316, 4, 13628548, 3, 14157812, 3, 132316
24878985921894, 6690, 19.5398, 21.4037, 3260410, 3, 1142, 7, 13693722, 3, 1142
24886730736283, 6691, 21.2257, 21.4039, 11891663, 3, 224371, 4, 16154712, 3, 224371
24886788162961, 6692, 19.2181, 21.4039, 2547008, 3, 13633984, 3, 224736, 4, 74912
24925965009312, 6693, 20.1943, 21.4049, 5388096, 3, 224504, 4, 13919248, 3, 224504
24945038562899, 6694, 21.1877, 21.4054, 11550000, 3, 13650000, 3, 21000, 5, 21000
24947108386852, 6695, 20.5883, 21.4055, 7290640, 3, 13650560, 3, 232680, 4, 77560
24949408292649, 6696, 21.0023, 21.4055, 178059, 4, 13651190, 3, 15253721, 3, 59353
24979640343503, 6697, 21.071, 21.4063, 10560242, 3, 224686, 4, 15503334, 3, 224686
25008624205711, 6698, 19.3971, 21.4071, 2922192, 3, 224784, 4, 13711824, 3, 224784
25010984515713, 6699, 20.5503, 21.4071, 7080948, 3, 224792, 4, 14274292, 3, 112396
25027211064825, 6700, 20.9412, 21.4075, 9558684, 3, 13672548, 3, 241992, 4, 120996
25058314962122, 6701, 21.2852, 21.4084, 12447344, 3, 224952, 4, 16496480, 3, 74984
Elapsed time: 23811.9 seconds
25067931952565, 6702, 20.8803, 21.4086, 9122470, 3, 13683705, 3, 240065, 4, 240065
25083139210576, 6703, 20.3177, 21.409, 120069, 4, 13687866, 3, 14048073, 3, 120069
25090977017364, 6704, 20.1599, 21.4092, 5247841, 3, 13690020, 3, 228167, 4, 228167
25105794719488, 6705, 21.0034, 21.4096, 10026017, 3, 13694072, 3, 244537, 4, 244537
25106140794440, 6706, 21.1366, 21.4096, 11105633, 3, 13694164, 3, 250503, 4, 83501
25111087043975, 6707, 20.0772, 21.4097, 104546, 4, 13695526, 3, 13904618, 3, 104546
25141824556219, 6708, 20.9734, 21.4105, 9797679, 3, 225234, 4, 15203295, 3, 112617
25147474254591, 6709, 19.2956, 21.4107, 2703036, 3, 225253, 4, 13740433, 3, 225253
25149548856540, 6710, 21.1808, 21.4107, 11488260, 3, 225260, 4, 15993460, 3, 225260
25159937584470, 6711, 20.7011, 21.411, 7949695, 3, 225295, 4, 14547620, 3, 32185
25165304190595, 6712, 20.53, 21.4111, 6971370, 3, 13710361, 3, 232379, 4, 232379
25176504812560, 6713, 20.8206, 21.4114, 8713572, 3, 225351, 4, 14798049, 3, 75117
25176505911355, 6714, 21.1292, 21.4114, 11042199, 3, 225351, 4, 15774570, 3, 225351
25257123081598, 6715, 21.1463, 21.4135, 193457, 4, 13735447, 3, 15863474, 3, 193457
25265385839270, 6716, 19.1845, 21.4137, 2482150, 3, 225650, 4, 13764650, 3, 225650
25267758242295, 6717, 20.4475, 21.4138, 6544082, 3, 225658, 4, 14216454, 3, 225658
25314751860839, 6718, 20.7107, 21.415, 388, 8, 225816, 4, 14602768, 3, 388
25317296724982, 6719, 21.286, 21.4151, 12454512, 3, 13751857, 3, 259469, 4, 259469
